,mutant,strain,videoname,start_time,peak_time
669,Ntr-C,MXAN_1189,Ntr-C activators--MXAN_1189--MXAN_1189-mic6-10.31.11,200,280
670,Ntr-C,MXAN_1189,Ntr-C activators--MXAN_1189--test,210,280
672,Ntr-C,MXAN_1245,Ntr-C activators--MXAN_1245--MXAN_1245-mic3-01.20.14,570,750
673,Ntr-C,MXAN_1245,Ntr-C activators--MXAN_1245--MXAN_1245-mic5-01.20.14,500,880
675,Ntr-C,MXAN_1245,Ntr-C activators--MXAN_1245--nla39-mic1-10.26.11-24h,390,440
676,Ntr-C,MXAN_1245,Ntr-C activators--MXAN_1245--nla39-mic6-10.26.11-24h,360,390
677,Ntr-C,MXAN_1245,Ntr-C activators--MXAN_1245--nla39-mic8-10.26.11-24h-super,450,510
678,Ntr-C,MXAN_1245,Ntr-C activators--MXAN_1245--test,630,1010
679,Ntr-C,MXAN_1345,Ntr-C activators--MXAN_1345--MXAN_1345-mic4-2.29.12,510,810
680,Ntr-C,MXAN_1345,Ntr-C activators--MXAN_1345--test,700,1440
682,Ntr-C,MXAN_1565,Ntr-C activators--MXAN_1565--MXAN_1565-mic3-9.27.11,0,1000
683,Ntr-C,MXAN_1565,Ntr-C activators--MXAN_1565--MXAN_1565-mic5-10.21.11-24h,0,740
684,Ntr-C,MXAN_1565,Ntr-C activators--MXAN_1565--MXAN_1565-mic6-01.21.14,0,970
685,Ntr-C,MXAN_1565,Ntr-C activators--MXAN_1565--MXAN_1565-mic6-1.24.12,0,680
686,Ntr-C,MXAN_1565,Ntr-C activators--MXAN_1565--MXAN_1565-mic8-01.21.14,0,1020
687,Ntr-C,MXAN_1565,Ntr-C activators--MXAN_1565--MXAN_1565-mic8-1.24.12,0,770
693,Ntr-C,MXAN_1565,Ntr-C activators--MXAN_1565--test,370,460
694,Ntr-C,MXAN_2159,Ntr-C activators--MXAN_2159--MXAN_2159-mic3-2.27.12,340,720
695,Ntr-C,MXAN_2159,Ntr-C activators--MXAN_2159--MXAN_2159-mic8-2.27.12,340,710
704,Ntr-C,MXAN_2159,Ntr-C activators--MXAN_2159--test,390,690
706,Ntr-C,MXAN_2501,Ntr-C activators--MXAN_2501--MXAN_2501-mic7-9.13.11,540,1440
709,Ntr-C,MXAN_2501,Ntr-C activators--MXAN_2501--test,420,1410
712,Ntr-C,MXAN_2516,Ntr-C activators--MXAN_2516--MXAN_2516-mic6-01.23.14,670,1220
713,Ntr-C,MXAN_2516,Ntr-C activators--MXAN_2516--MXAN_2516-mic7-01.23.14,860,1060
714,Ntr-C,MXAN_2516,Ntr-C activators--MXAN_2516--MXAN_2516-mic8-01.23.14,550,800
723,Ntr-C,MXAN_2516,Ntr-C activators--MXAN_2516--test,560,850
725,Ntr-C,MXAN_3214,Ntr-C activators--MXAN_3214--MXAN_3214(actB)-mic2-01.03.2017,600,670
726,Ntr-C,MXAN_3214,Ntr-C activators--MXAN_3214--MXAN_3214(actB)-mic3-01.03.2017,0,1440
727,Ntr-C,MXAN_3214,Ntr-C activators--MXAN_3214--test,0,700
731,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--MXAN_3333-mic-8-06.14.12,380,750
733,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--MXAN_3333-mic4-1.27.12@,0,740
734,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--MXAN_3333-mic4-10.1.13,840,1430
736,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--MXAN_3333-mic5-10.1.13,0,740
738,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--MXAN_3333-mic7-10.1.13,0,460
740,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--MXAN_3333-mic8-07-31-13,310,1440
741,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--MXAN_3333-mic8-1.27.12@,0,640
746,Ntr-C,MXAN_3333,Ntr-C activators--MXAN_3333--test,0,590
748,Ntr-C,MXAN_3381,Ntr-C activators--MXAN_3381--MXAN_3381-mic8-10.24.11-24h,800,1440
749,Ntr-C,MXAN_3381,Ntr-C activators--MXAN_3381--nla2-mic7-10.24.11,350,1290
754,Ntr-C,MXAN_3381,Ntr-C activators--MXAN_3381--test,300,1170
756,Ntr-C,MXAN_3418,Ntr-C activators--MXAN_3418--MXAN_3418-mic6-1.26.12,400,500
757,Ntr-C,MXAN_3418,Ntr-C activators--MXAN_3418--test,340,500
760,Ntr-C,MXAN_3555,Ntr-C activators--MXAN_3555--test,290,490
762,Ntr-C,MXAN_3692,Ntr-C activators--MXAN_3692--MXAN_3692-nla18-mic3-1.6.17,0,670
768,Ntr-C,MXAN_3811,Ntr-C activators--MXAN_3811--MXAN_3811-mic4-5.22.12,490,710
769,Ntr-C,MXAN_3811,Ntr-C activators--MXAN_3811--MXAN_3811-mic5-5.22.12,410,660
770,Ntr-C,MXAN_3811,Ntr-C activators--MXAN_3811--MXAN_3811-mic7-5.22.12,480,690
771,Ntr-C,MXAN_3811,Ntr-C activators--MXAN_3811--test,410,690
775,Ntr-C,MXAN_3952,Ntr-C activators--MXAN_3952--test,260,410
779,Ntr-C,MXAN_4042,Ntr-C activators--MXAN_4042--MXAN_4042-mic3-01.21.14,690,1440
780,Ntr-C,MXAN_4042,Ntr-C activators--MXAN_4042--MXAN_4042-mic5-01.21.14,610,1420
783,Ntr-C,MXAN_4042,Ntr-C activators--MXAN_4042--test,1100,1440
785,Ntr-C,MXAN_4196,Ntr-C activators--MXAN_4196--MXAN_4196-mic5-01.03.17(looks like actB),0,510
786,Ntr-C,MXAN_4196,Ntr-C activators--MXAN_4196--MXAN_4196-mic6-01.03.2017,0,190
787,Ntr-C,MXAN_4196,Ntr-C activators--MXAN_4196--test,0,1440
794,Ntr-C,MXAN_4240,Ntr-C activators--MXAN_4240--MXAN_4240-mic_8,240,610
807,Ntr-C,MXAN_4240,Ntr-C activators--MXAN_4240--test,170,540
808,Ntr-C,MXAN_4252,Ntr-C activators--MXAN_4252--MXAN_4252-mic3-06.06.12,240,1220
809,Ntr-C,MXAN_4252,Ntr-C activators--MXAN_4252--MXAN_4252-mic6-06.06.12,220,1130
810,Ntr-C,MXAN_4252,Ntr-C activators--MXAN_4252--MXAN_4252-mic8-06.06.12,310,990
813,Ntr-C,MXAN_4252,"Ntr-C activators--MXAN_4252--MXAN_4252-TPMAgar,4X-mic3-4.21.12",680,1440
819,Ntr-C,MXAN_4252,Ntr-C activators--MXAN_4252--test,280,1390
820,Ntr-C,MXAN_4261,Ntr-C activators--MXAN_4261--MXAN_4261-mic7-10.25.11,490,870
821,Ntr-C,MXAN_4261,Ntr-C activators--MXAN_4261--MXAN_4261-mic8-10.25.11,490,910
822,Ntr-C,MXAN_4261,Ntr-C activators--MXAN_4261--test,460,690
823,Ntr-C,MXAN_4339,Ntr-C activators--MXAN_4339--MXAN_4339-mic7-10.31.11,350,830
824,Ntr-C,MXAN_4339,Ntr-C activators--MXAN_4339--MXAN_4339-mic8-10.31.11,340,900
825,Ntr-C,MXAN_4339,Ntr-C activators--MXAN_4339--test,370,770
826,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--MXAN_4580-mic3-8.21.12,320,430
827,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--MXAN_4580-mic4-8.21.12,140,260
828,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--MXAN_4580-mic6-8.21.12,310,420
829,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--MXAN_4580-mic7-8.21.12,300,440
830,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--nla8-mic3-10.27.11,270,400
831,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--nla8-mic7-10.27.11,280,610
832,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--nla8-mic8-10.27.11,290,650
833,Ntr-C,MXAN_4580,Ntr-C activators--MXAN_4580--test,250,360
412,ECF,MXAN_4662,ECF sigma-70 factor--MXAN_4662--MXAN_4662-mic3-11.15.11,170,990
413,ECF,MXAN_4662,ECF sigma-70 factor--MXAN_4662--test,170,860
414,ECF,MXAN_6173,ECF sigma-70 factor--MXAN_6173--MXAN_6173-mic3-11.21.11,200,430
415,ECF,MXAN_6173,ECF sigma-70 factor--MXAN_6173--MXAN_6173-mic6-11.21.11,260,480
416,ECF,MXAN_6173,ECF sigma-70 factor--MXAN_6173--test,280,480
417,ECF,MXAN_0203,ECF sigma-70 factor--MXAN_0203--MXAN_0203-mic3-11.23.11,160,290
418,ECF,MXAN_0203,ECF sigma-70 factor--MXAN_0203--MXAN_0203-mic6-11.23.11,150,280
419,ECF,MXAN_0203,ECF sigma-70 factor--MXAN_0203--MXAN_0203-mic8-11.23.11,220,340
420,ECF,MXAN_0203,ECF sigma-70 factor--MXAN_0203--test,160,310
422,ECF,MXAN_0233,ECF sigma-70 factor--MXAN_0233--MXAN_0233-mic5-1.9.17,450,580
423,ECF,MXAN_0233,ECF sigma-70 factor--MXAN_0233--MXAN_0233-mic6-1.9.17,1320,1440
424,ECF,MXAN_0233,ECF sigma-70 factor--MXAN_0233--test,1190,1440
425,ECF,MXAN_0681,ECF sigma-70 factor--MXAN_0681--MXAN_0681-mic4-11.10.11,640,1300
426,ECF,MXAN_0681,ECF sigma-70 factor--MXAN_0681--MXAN_0681-mic7-11.10.11,290,970
427,ECF,MXAN_0681,ECF sigma-70 factor--MXAN_0681--test,270,1340
428,ECF,MXAN_0947,ECF sigma-70 factor--MXAN_0947--MXAN_0947-mic4-11.28.11,410,530
429,ECF,MXAN_0947,ECF sigma-70 factor--MXAN_0947--MXAN_0947-mic5-11.28.11,410,770
430,ECF,MXAN_0947,ECF sigma-70 factor--MXAN_0947--MXAN_0947-mic7-11.28.11,430,820
431,ECF,MXAN_0947,ECF sigma-70 factor--MXAN_0947--test,450,590
433,ECF,MXAN_1210,ECF sigma-70 factor--MXAN_1210(1CP)--MXAN_1210-mic2-1.10.17,650,810
434,ECF,MXAN_1210,ECF sigma-70 factor--MXAN_1210(1CP)--MXAN_1210-mic2-11.22.13,670,960
435,ECF,MXAN_1210,ECF sigma-70 factor--MXAN_1210(1CP)--MXAN_1210-mic3-1.10.17,690,1440
436,ECF,MXAN_1210,ECF sigma-70 factor--MXAN_1210(1CP)--MXAN_1210-mic4-11.22.13,850,1170
437,ECF,MXAN_1210,ECF sigma-70 factor--MXAN_1210(1CP)--MXAN_1210-mic5-11.22.13,340,1210
439,ECF,MXAN_1210,ECF sigma-70 factor--MXAN_1210(1CP)--test,360,630
441,ECF,MXAN_1510,ECF sigma-70 factor--MXAN_1510--MXAN_1510-mic3-1.7.17,1090,1440
442,ECF,MXAN_1510,ECF sigma-70 factor--MXAN_1510--test,600,1180
443,ECF,MXAN_1514,ECF sigma-70 factor--MXAN_1514--MXAN_1514-mic6-10.25.16,1230,1430
444,ECF,MXAN_1514,ECF sigma-70 factor--MXAN_1514--test,1160,1430
445,ECF,MXAN_1661,ECF sigma-70 factor--MXAN_1661--MXAN_1661-mic4-11.08.11,640,1010
446,ECF,MXAN_1661,ECF sigma-70 factor--MXAN_1661--MXAN_1661-mic7-11.08.11,260,420
447,ECF,MXAN_1661,ECF sigma-70 factor--MXAN_1661--test,250,380
448,ECF,MXAN_2030,ECF sigma-70 factor--MXAN_2030--MXAN_2030-mic4-11.22.11,260,620
449,ECF,MXAN_2030,ECF sigma-70 factor--MXAN_2030--MXAN_2030-mic5-11.22.11,230,660
450,ECF,MXAN_2030,ECF sigma-70 factor--MXAN_2030--MXAN_2030-mic7-11.22.11,280,730
451,ECF,MXAN_2030,ECF sigma-70 factor--MXAN_2030--test,240,660
452,ECF,MXAN_2184,ECF sigma-70 factor--MXAN_2184--MXAN_2184-mic4-11.07.11,580,1440
453,ECF,MXAN_2184,ECF sigma-70 factor--MXAN_2184--MXAN_2184-mic7-11.07.11,320,1030
454,ECF,MXAN_2184,ECF sigma-70 factor--MXAN_2184--test,350,1040
455,ECF,MXAN_2204,ECF sigma-70 factor--MXAN_2204--MXAN_2204-mic3-11.20.13,650,1380
456,ECF,MXAN_2204,ECF sigma-70 factor--MXAN_2204--test,690,1220
457,ECF,MXAN_2395,ECF sigma-70 factor--MXAN_2395--MXAN_2395-mic4-11.15.11,600,770
458,ECF,MXAN_2395,ECF sigma-70 factor--MXAN_2395--MXAN_2395-mic7-11.15.11,240,360
459,ECF,MXAN_2395,ECF sigma-70 factor--MXAN_2395--test,240,440
460,ECF,MXAN_2437,ECF sigma-70 factor--MXAN_2437(1CP)--MXAN_2437-mic5-11.21.13,470,1130
461,ECF,MXAN_2437,ECF sigma-70 factor--MXAN_2437(1CP)--MXAN_2437-mic7-11.21.13,580,1050
462,ECF,MXAN_2437,ECF sigma-70 factor--MXAN_2437(1CP)--test,470,1440
463,ECF,MXAN_2500,ECF sigma-70 factor--MXAN_2500--MXAN_2500-mic4-11.23.11,270,470
464,ECF,MXAN_2500,ECF sigma-70 factor--MXAN_2500--MXAN_2500-mic5-11.23.11,270,390
465,ECF,MXAN_2500,ECF sigma-70 factor--MXAN_2500--test,250,470
466,ECF,MXAN_2929,ECF sigma-70 factor--MXAN_2929--MXAN_2929-mic3-11.29.11,390,570
467,ECF,MXAN_2929,ECF sigma-70 factor--MXAN_2929--MXAN_2929-mic6-11.29.11,330,510
468,ECF,MXAN_2929,ECF sigma-70 factor--MXAN_2929--MXAN_2929-mic8-11.29.11,360,530
469,ECF,MXAN_2929,ECF sigma-70 factor--MXAN_2929--test,320,490
470,ECF,MXAN_3426,ECF sigma-70 factor--MXAN_3426--MXAN_3426-mic3-11.08.11,200,450
471,ECF,MXAN_3426,ECF sigma-70 factor--MXAN_3426--MXAN_3426-mic6-11.08.11,230,480
472,ECF,MXAN_3426,ECF sigma-70 factor--MXAN_3426--MXAN_3426-mic8-11.08.11,270,440
473,ECF,MXAN_3426,ECF sigma-70 factor--MXAN_3426--test,230,410
474,ECF,MXAN_3686,ECF sigma-70 factor--MXAN_3686--MXAN_3686-mic4-12.02.11,300,430
475,ECF,MXAN_3686,ECF sigma-70 factor--MXAN_3686--MXAN_3686-mic5-12.02.11,280,400
476,ECF,MXAN_3686,ECF sigma-70 factor--MXAN_3686--MXAN_3686-mic7-12.02.11,310,450
477,ECF,MXAN_3686,ECF sigma-70 factor--MXAN_3686--test,280,620
478,ECF,MXAN_3959,ECF sigma-70 factor--MXAN_3959--MXAN_3959-mic3-12.02.11,140,280
479,ECF,MXAN_3959,ECF sigma-70 factor--MXAN_3959--MXAN_3959-mic5-12.02.11,150,280
480,ECF,MXAN_3959,ECF sigma-70 factor--MXAN_3959--MXAN_3959-mic8-12.02.11,170,270
481,ECF,MXAN_3959,ECF sigma-70 factor--MXAN_3959--test,150,250
482,ECF,MXAN_4309,ECF sigma-70 factor--MXAN_4309--MXAN_4309-mic3-11.10.11,160,1400
483,ECF,MXAN_4309,ECF sigma-70 factor--MXAN_4309--MXAN_4309-mic6-11.10.11,180,1390
484,ECF,MXAN_4309,ECF sigma-70 factor--MXAN_4309--MXAN_4309-mic8-11.10.11,170,400
485,ECF,MXAN_4309,ECF sigma-70 factor--MXAN_4309--test,150,1370
486,ECF,MXAN_4316,ECF sigma-70 factor--MXAN_4316--MXAN_4316-mic3-11.30.11,260,380
487,ECF,MXAN_4316,ECF sigma-70 factor--MXAN_4316--MXAN_4316-mic6-11.30.11,260,400
488,ECF,MXAN_4316,ECF sigma-70 factor--MXAN_4316--MXAN_4316-mic8-11.30.11,250,390
489,ECF,MXAN_4316,ECF sigma-70 factor--MXAN_4316--test,270,400
490,ECF,MXAN_4733,ECF sigma-70 factor--MXAN_4733--MXAN_4733-mic3-12.01.11,130,960
491,ECF,MXAN_4733,ECF sigma-70 factor--MXAN_4733--MXAN_4733-mic6-12.01.11,140,680
492,ECF,MXAN_4733,ECF sigma-70 factor--MXAN_4733--MXAN_4733-mic8-12.01.11,140,610
493,ECF,MXAN_4733,ECF sigma-70 factor--MXAN_4733--test,120,840
494,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--MXAN_4949-mic2-4.2.13,330,770
495,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--MXAN_4949-mic2-4.30.13,990,1300
496,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--MXAN_4949-mic3-4.2.13,320,840
497,ECF,MXAN_4949,ECF sigma-70 factor--MXAN_4949--MXAN_4949-mic4-4.2.13,430,1440
